Title,Link,Discussão | Conclusão
Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,ERRO ao processar o XML para PMC11500582: prefix 'ns' not found in prefix map
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,ERRO ao processar o XML para PMC5387210: prefix 'ns' not found in prefix map
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,ERRO ao processar o XML para PMC4642138: prefix 'ns' not found in prefix map
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,ERRO ao processar o XML para PMC5387210: prefix 'ns' not found in prefix map
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,ERRO ao processar o XML para PMC2915878: prefix 'ns' not found in prefix map
Toll mediated infection response is altered by gravity and spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,ERRO ao processar o XML para PMC3901686: prefix 'ns' not found in prefix map
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,ERRO ao processar o XML para PMC6985101: prefix 'ns' not found in prefix map
GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,ERRO ao processar o XML para PMC6387434: prefix 'ns' not found in prefix map
FAIRness and usability for open-access omics data systems.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,ERRO ao processar o XML para PMC6371294: prefix 'ns' not found in prefix map
NASA GeneLab platform utilized for biological response to space radiation in animal models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,ERRO ao processar o XML para PMC7072278: prefix 'ns' not found in prefix map
Circulating miRNA spaceflight signature reveals targets for countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,ERRO ao processar o XML para PMC8441986: prefix 'ns' not found in prefix map
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,ERRO ao processar o XML para PMC9400218: prefix 'ns' not found in prefix map
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,ERRO ao processar o XML para PMC9267413: prefix 'ns' not found in prefix map
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,ERRO ao processar o XML para PMC9576569: prefix 'ns' not found in prefix map
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,ERRO ao processar o XML para PMC10789781: prefix 'ns' not found in prefix map
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,ERRO ao processar o XML para PMC10772081: prefix 'ns' not found in prefix map
Aging and putative frailty biomarkers are altered by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,ERRO ao processar o XML para PMC11166946: prefix 'ns' not found in prefix map
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,ERRO ao processar o XML para PMC11166944: prefix 'ns' not found in prefix map
Ethical considerations for the age of non-governmental space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,ERRO ao processar o XML para PMC11166968: prefix 'ns' not found in prefix map
Innate immune responses of Drosophila melanogaster are altered by spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,ERRO ao processar o XML para PMC7000411: prefix 'ns' not found in prefix map
Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,ERRO ao processar o XML para PMC7787258: prefix 'ns' not found in prefix map
Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,ERRO ao processar o XML para PMC8716943: prefix 'ns' not found in prefix map
HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/,ERRO ao processar o XML para PMC4826010: prefix 'ns' not found in prefix map
ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,ERRO ao processar o XML para PMC6048781: prefix 'ns' not found in prefix map
Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,ERRO ao processar o XML para PMC7010715: prefix 'ns' not found in prefix map
Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,ERRO ao processar o XML para PMC7503278: prefix 'ns' not found in prefix map
Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,ERRO ao processar o XML para PMC8364238: prefix 'ns' not found in prefix map
Microgravity Stress: Bone and Connective Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/,ERRO ao processar o XML para PMC11579474: prefix 'ns' not found in prefix map
S. aureus MscL is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/,ERRO ao processar o XML para PMC2998437: prefix 'ns' not found in prefix map
Manipulating the permeation of charged compounds through the MscL nanovalve.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/,ERRO ao processar o XML para PMC3005423: prefix 'ns' not found in prefix map
The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/,ERRO ao processar o XML para PMC3190158: prefix 'ns' not found in prefix map
Three routes to modulate the pore size of the MscL channel/nanovalve,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,ERRO ao processar o XML para PMC3289768: prefix 'ns' not found in prefix map
The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/,ERRO ao processar o XML para PMC3508904: prefix 'ns' not found in prefix map
The MscS and MscL families of mechanosensitive channels act as microbial emergency release valves,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/,ERRO ao processar o XML para PMC3430326: prefix 'ns' not found in prefix map
Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/,ERRO ao processar o XML para PMC3593973: prefix 'ns' not found in prefix map
Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/,ERRO ao processar o XML para PMC5018776: prefix 'ns' not found in prefix map
Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/,ERRO ao processar o XML para PMC4896697: prefix 'ns' not found in prefix map
Tardigrades Use Intrinsically Disordered Proteins to Survive Desiccation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/,ERRO ao processar o XML para PMC11127935: prefix 'ns' not found in prefix map
Desiccation of Hypsibius exemplaris,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831363/,ERRO ao processar o XML para PMC11831363: prefix 'ns' not found in prefix map
The biology of tardigrade disordered proteins in extreme stress tolerance.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/,ERRO ao processar o XML para PMC11930778: prefix 'ns' not found in prefix map
Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/,ERRO ao processar o XML para PMC8816950: prefix 'ns' not found in prefix map
Partial weight suspension: A novel murine model for investigating adaptation to reduced musculoskeletal loading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774184/,ERRO ao processar o XML para PMC3774184: prefix 'ns' not found in prefix map
"Partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/,ERRO ao processar o XML para PMC4118556: prefix 'ns' not found in prefix map
Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/,ERRO ao processar o XML para PMC4653813: prefix 'ns' not found in prefix map
Spaceflight Activates Lipotoxic Pathways in Mouse Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/,ERRO ao processar o XML para PMC6915713: prefix 'ns' not found in prefix map
Treatment with a soluble bone morphogenetic protein type 1A receptor (BMPR1A) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/,ERRO ao processar o XML para PMC6124165: prefix 'ns' not found in prefix map
RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/,ERRO ao processar o XML para PMC8509868: prefix 'ns' not found in prefix map
Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/,ERRO ao processar o XML para PMC11063234: prefix 'ns' not found in prefix map
Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/,ERRO ao processar o XML para PMC5672023: prefix 'ns' not found in prefix map
"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/,ERRO ao processar o XML para PMC5899691: prefix 'ns' not found in prefix map
"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1g on the Structure and Function of the Utricle in Toadfish, Opsanus tau.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/,ERRO ao processar o XML para PMC6204554: prefix 'ns' not found in prefix map
Organization of the ER-Golgi interface for membrane traffic control.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/,ERRO ao processar o XML para PMC4064004: prefix 'ns' not found in prefix map
IRE1: ER stress sensor and cell fate executor.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/,ERRO ao processar o XML para PMC3818365: prefix 'ns' not found in prefix map
Inter-regulation of the unfolded protein response and auxin signaling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/,ERRO ao processar o XML para PMC3981873: prefix 'ns' not found in prefix map
Endoplasmic reticulum-shape and function in stress translation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/,ERRO ao processar o XML para PMC4150462: prefix 'ns' not found in prefix map
Galactose-depleted xycoglucan is dysfunctional and leads to dwarfism in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/,ERRO ao processar o XML para PMC4378170: prefix 'ns' not found in prefix map
"Unfolded protein response in plants: one master, many questions.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/,ERRO ao processar o XML para PMC4618186: prefix 'ns' not found in prefix map
Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453782/,ERRO ao processar o XML para PMC4453782: prefix 'ns' not found in prefix map
Pectin methylesterification impacts the relationship between photosynthesis and plant growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902601/,ERRO ao processar o XML para PMC4902601: prefix 'ns' not found in prefix map
Reduced Chloroplast Coverage genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776492/,ERRO ao processar o XML para PMC4776492: prefix 'ns' not found in prefix map
Maintaining the factory: The roles of the unfolded protein response in cellular homeostasis in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/,ERRO ao processar o XML para PMC5415411: prefix 'ns' not found in prefix map
NADPH oxidase activity is required for ER stress survival in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289879/,ERRO ao processar o XML para PMC6289879: prefix 'ns' not found in prefix map
Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987364/,ERRO ao processar o XML para PMC7987364: prefix 'ns' not found in prefix map
Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099722/,ERRO ao processar o XML para PMC8099722: prefix 'ns' not found in prefix map
"High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core ""DSB"" response specific to clastogenic treatments",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116466/,ERRO ao processar o XML para PMC5116466: prefix 'ns' not found in prefix map
Genomic stability in response to high versus low linear energy transfer radiation in Arabidopsis thaliana,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033213/,ERRO ao processar o XML para PMC4033213: prefix 'ns' not found in prefix map
Acceleration profiles and processing methods for parabolic flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081456/,ERRO ao processar o XML para PMC6081456: prefix 'ns' not found in prefix map
Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955502/,ERRO ao processar o XML para PMC5955502: prefix 'ns' not found in prefix map
Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285634/,ERRO ao processar o XML para PMC10285634: prefix 'ns' not found in prefix map
Spaceflight increases sarcoplasmic reticulum Ca2+ leak and this cannot be counteracted with BuOE treatment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11271499/,ERRO ao processar o XML para PMC11271499: prefix 'ns' not found in prefix map
Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6062551/,ERRO ao processar o XML para PMC6062551: prefix 'ns' not found in prefix map
Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9832585/,ERRO ao processar o XML para PMC9832585: prefix 'ns' not found in prefix map
Genomic and functional characterization of Enterococcus faecalis isolates recovered from the International Space Station and their potential for pathogenicity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7829349/,ERRO ao processar o XML para PMC7829349: prefix 'ns' not found in prefix map
Evaluation of in vitro macrophage differentiation during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570223/,ERRO ao processar o XML para PMC3570223: prefix 'ns' not found in prefix map
Identification of critical host mitochondrion-associated genes during Ehrlichia chaffeensis infections,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3457586/,ERRO ao processar o XML para PMC3457586: prefix 'ns' not found in prefix map
Ehrlichia chaffeensis replication sites in adult Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558598/,ERRO ao processar o XML para PMC3558598: prefix 'ns' not found in prefix map
Development and characterization of two porcine monocyte-derived macrophage cell lines.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11046949/,ERRO ao processar o XML para PMC11046949: prefix 'ns' not found in prefix map
Understanding macrophage differentiation during space flight: The importance of ground-based experiments before space flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3890248/,ERRO ao processar o XML para PMC3890248: prefix 'ns' not found in prefix map
Bone marrow leptin signaling mediates obesity-associated adipose tissue inflammation in male mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3868799/,ERRO ao processar o XML para PMC3868799: prefix 'ns' not found in prefix map
Establishment and characterization of DB-1: a leptin receptor-deficient murine macrophage cell line,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4960141/,ERRO ao processar o XML para PMC4960141: prefix 'ns' not found in prefix map
Validation of methods to assess the immunoglobulin gene repertoire in tissues obtained from mice on the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5736159/,ERRO ao processar o XML para PMC5736159: prefix 'ns' not found in prefix map
Characterization of the naive murine antibody repertoire using unamplified high-throughput sequencing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761896/,ERRO ao processar o XML para PMC5761896: prefix 'ns' not found in prefix map
Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826609/,ERRO ao processar o XML para PMC5826609: prefix 'ns' not found in prefix map
A comparison of unamplified and massively multiplexed PCR amplification for murine antibody repertoire sequencing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6366624/,ERRO ao processar o XML para PMC6366624: prefix 'ns' not found in prefix map
Effects of skeletal unloading on the antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/,ERRO ao processar o XML para PMC11929063: prefix 'ns' not found in prefix map
Effects of skeletal unloading on the bone marrow antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/,ERRO ao processar o XML para PMC11929063: prefix 'ns' not found in prefix map
An Analysis of the Effects of Spaceflight and Vaccination on Antibody Repertoire Diversity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10996920/,ERRO ao processar o XML para PMC10996920: prefix 'ns' not found in prefix map
Effects of spaceflight aboard the International Space Station on mouse estrous cycle and ovarian gene expression,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7954810/,ERRO ao processar o XML para PMC7954810: prefix 'ns' not found in prefix map
Effect of spaceflight on Pseudomonas aeruginosa final cell density is modulated by nutrient and oxygen availability.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4228280/,ERRO ao processar o XML para PMC4228280: prefix 'ns' not found in prefix map
Spaceflight promotes biofilm formation by Pseudomonas aeruginosa.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3639165/,ERRO ao processar o XML para PMC3639165: prefix 'ns' not found in prefix map
GeneLab: Omics database for spaceflight experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044432/,ERRO ao processar o XML para PMC8044432: prefix 'ns' not found in prefix map
NASA GeneLab: Interfaces for the exploration of space omics data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7778922/,ERRO ao processar o XML para PMC7778922: prefix 'ns' not found in prefix map
Comprehensive multi-omics analysis reveals mitochondrial stress as a central biological hub for spaceflight impact,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7870178/,ERRO ao processar o XML para PMC7870178: prefix 'ns' not found in prefix map
A New Era for Space Life Science: International Standards for Space Omics Processing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7733874/,ERRO ao processar o XML para PMC7733874: prefix 'ns' not found in prefix map
Knowledge Network Embedding of Transcriptomic Data from Spaceflown Mice Uncovers Signs and Symptoms Associated with Terrestrial Diseases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7828077/,ERRO ao processar o XML para PMC7828077: prefix 'ns' not found in prefix map
NASA GeneLab RNA-Seq Consensus Pipeline: Standardized Processing of Short-Read RNA-Seq Data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044432/,ERRO ao processar o XML para PMC8044432: prefix 'ns' not found in prefix map
Spatially resolved multiomics on the neuronal effects induced by spaceflight in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166911/,ERRO ao processar o XML para PMC11166911: prefix 'ns' not found in prefix map
Biological horizons: pioneering open science in the cosmos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11167097/,ERRO ao processar o XML para PMC11167097: prefix 'ns' not found in prefix map
Inspiration4 data access through the NASA Open Science Data Repository,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11094041/,ERRO ao processar o XML para PMC11094041: prefix 'ns' not found in prefix map
NASA GeneLab derived microarray studies of Mus musculus and Homo sapiens organisms in altered gravitational conditions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11053165/,ERRO ao processar o XML para PMC11053165: prefix 'ns' not found in prefix map
Celebrating 30 years of access to NASA space life sciences data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11403809/,ERRO ao processar o XML para PMC11403809: prefix 'ns' not found in prefix map
Dichotomous effects on lymphatic transport with loss of caveolae in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8513672/,ERRO ao processar o XML para PMC8513672: prefix 'ns' not found in prefix map
Fungal diversity differences in the indoor dust microbiome from built environments on Earth and in space.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11126634/,ERRO ao processar o XML para PMC11126634: prefix 'ns' not found in prefix map
Predicting how varying moisture conditions impact the microbiome of dust collected from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11386075/,ERRO ao processar o XML para PMC11386075: prefix 'ns' not found in prefix map
Aging and estrogen status: A possible endothelium-dependent vascular coupling mechanism in bone remodeling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3502426/,ERRO ao processar o XML para PMC3502426: prefix 'ns' not found in prefix map
Chronic skeletal unloading of the rat femur: mechanisms and functional consequences of vascular remodeling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3856860/,ERRO ao processar o XML para PMC3856860: prefix 'ns' not found in prefix map
Differential effects of aging and exercise on intra-abdominal adipose arteriolar function and blood flow regulation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3615599/,ERRO ao processar o XML para PMC3615599: prefix 'ns' not found in prefix map
Effects of spaceflight and ground recovery on mesenteric artery and vein constrictor properties in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4050424/,ERRO ao processar o XML para PMC4050424: prefix 'ns' not found in prefix map
"Spaceflight-induced alterations in cerebral artery vasoconstrictor, mechanical, and structural properties: Implications for elevated cerebral perfusion and intracranial pressure",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3659353/,ERRO ao processar o XML para PMC3659353: prefix 'ns' not found in prefix map
Exercise training augments regional bone and marrow blood flow during exercise.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4169763/,ERRO ao processar o XML para PMC4169763: prefix 'ns' not found in prefix map
Effects of Skeletal Unloading on the Vasomotor Properties of the Rat Femur Principal Nutrient Artery,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4398884/,ERRO ao processar o XML para PMC4398884: prefix 'ns' not found in prefix map
Type 2 diabetes alters bone and marrow blood flow and vascular control mechanisms in the ZDF rat.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4379453/,ERRO ao processar o XML para PMC4379453: prefix 'ns' not found in prefix map
Spaceflight on the Bion-M1 biosatellite alters cerebral artery vasomotor and mechanical properties in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4385880/,ERRO ao processar o XML para PMC4385880: prefix 'ns' not found in prefix map
Apollo Lunar Astronauts Show Higher Cardiovascular Disease Mortality: Possible Deep Space Radiation Effects on the Vascular Endothelium,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4964660/,ERRO ao processar o XML para PMC4964660: prefix 'ns' not found in prefix map
Effects of age and exercise training on coronary microvascular smooth muscle phenotype and function,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5866446/,ERRO ao processar o XML para PMC5866446: prefix 'ns' not found in prefix map
Impact of Spaceflight and Artificial Gravity on the Mouse Retina: Biochemical and Proteomic Analysis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6165321/,ERRO ao processar o XML para PMC6165321: prefix 'ns' not found in prefix map
Simulated microgravity induces regionally distinct neurovascular and structural remodeling of skeletal muscle and cutaneous arteries in the rat,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7339929/,ERRO ao processar o XML para PMC7339929: prefix 'ns' not found in prefix map
